ref	tcz	en_web	en_kjv	tcz_gospelgo
GEN 1:1	Pathen in Semtilin van le leiset asem tai.	In the beginning, God created the heavens and the earth.	In the beginning God created the heaven and the earth.	Semtil’ in Pathenin van le leiset ahinsemtai.
GEN 1:2	Leiset chu agong bei le ahomkeu ahin, muthim chun twipi thuhtah chu akhukhum ahin, Hiche twipi chung'a chu Pathen lhagao chu ana lhale ahi.	The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	Ahin leiset chu alim le agong bei, twipi thuh tah a ki khang chule achungnga thim pi jingahin, twipi chu Pathen Lhagaovin a-opkhum’ e.
GEN 1:3	Pathen in; “Vah hung umhen,” atin, Vah chu aum tai.	God said, “Let there be light,” and there was light.	And God said, Let there be light: and there was light.	Pathenin, “kho hungvah hen,” atile, ahungvahtai.
GEN 1:4	Pathen in vah chu aven pha asah e. Chule Pathen in vah chu muthim akon in asep khen tai.	God saw the light, and saw that it was good. God divided the light from the darkness.	And God saw the light, that it was good: and God divided the light from the darkness.	Pathenin khovah chu avetle apha lheh jengin, muthim le khovah asep khentai.
GEN 1:5	Pathen'in vah chu sun asah in muthim chu jan asah tai. Hiche apat chun nilhah le jingkah ahung umdohtan hichu nikho masa pen ahung hitai.	God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day.	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.	Pathenin khovah chu “sun” asah-in, muthimchu “jan” asah-e. Jan akichaijin jingkah ahitan, nikhat alhingtai.
GEN 1:6	Hichun Pathenin aseiyin, “Twipi sukhen dingin, vanthamjol hung kidal hen lang Van, twipi le leiset twipi chu alang alang ah sukhen hen,” atin.	God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	Pathenin, Twipi lah a chun vanthimjol hung kidal hen, Twipi chu alang langa dalten hen, atin;
GEN 1:7	Hiti chun asei bang in aum in, van twipi le leiset twipi chu alang alang ah asukhen tai.”	God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.	Vanthimjol ajamdoh-in, twipichu chung le noiya adaltanin asepkhentai.
GEN 1:8	Pathen in onghom chu vanthamjol asah in, hichun nilhah le jingkah achedoh kitin ahileh nikho nina ahi tai.	God called the expanse “sky”. There was evening and there was morning, a second day.	And God called the firmament Heaven. And the evening and the morning were the second day.	Twipi daltenna chu Pathenin “vanthamjol” asah-e. Jan akichaiyin jingkah ahitan, ni ni alhingtai.
GEN 1:9	Chule Pathen in aseiye, “Vantham jol'a twi umjouse chu mun khat'a kikhol khom hen lang chule tolgo lai um doh hen,” ati. Asei bang chun aum jeng tai.	God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so.	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.	Pathenin, “vanthimjol noiya twipi mun khat’a veikhom hen, tolgo hung doh hen,” atileh, aseibangin aumtai.
GEN 1:10	Pathen in tolgo lai chu leiset asah in chule twi jouse kikhol na mun chu twikhanglen asah e. Pathen in aven pha asa lheh jeng in ahi.	God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good.	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.	Tolgo lai chu Pathenin, “leiset” asah-in, twipi veikhom chengse chu “twikhanglen” asahtai. Aphatdan chu Pathenin amudohtai.
GEN 1:11	Chuin Pathen'in aseiye, “Leiset in hamphung ho, amu nei hamphung, agathei hamhing chi chom chom leh thingphung aga amunei ho, hiche ho chun ama ama chi dungjui cheh ahin sepdoh kit diu ahi,” ati. Hiti chun ahung kehdoh tauve.	God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;” and it was so.	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.	Pathenin, “leiset’in hampa, amunei hamphung, agathei thing, achi ding amunei cheh, ama amachi dungjui cheh-in hinsepdohhen, leiset chunga kehdohhen,” atileh ahung kehdoh tauve.
GEN 1:12	Leiset'in hamphung thingphung ama ama chi dung juiyin ahung kehdoh in, agathei amu nei thingphung ama ama chi dungjui yin ahung kehdoh tauvin ahi. Pathen'in aven pha asah lheh jeng in ahi.	The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good.	And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.	Leiset’in hampa ahinsep doh tan, hamphung ama ama chi dungjuiyin akehdoh-in, agathei amunei thingphung achi dungjuiyin ahung kehdoh tauve. Ahoidanchu Pathenin amudoh tai.
GEN 1:13	Nilhah khat le jingkah khat achekit in nithum alhing tai.	There was evening and there was morning, a third day.	And the evening and the morning were the third day.	Jan akichaiyin jingkah ahitan, nithum alhingtai.
GEN 1:14	Chuin Pathen'in aseiye, “Sun le jan sepkhen dingin vanthomjol avah thei vahho hung kigol uhenlang, hiche ho chu kum kihei chin melchihnan jong, nikho simtoh nan jong chule kum simtoh nan jong pang'u hen.	God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:	Pathenin, “sun le jan sepkhendin vanthamjol’a avah thei vahho hung kigol’u hen, kum kiheichin kum simtoh nan jong panguhen;
GEN 1:15	Chujong le hiche ho chu vana vanthamjol akon in leiset salvah-in pang u-hen,’’ atin ahileh, hiti chun aum tai.	and let them be for lights in the expanse of the sky to give light on the earth;” and it was so.	and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.	Vanthamjol’a konin leiset hinsalvah-u hen,” atileh, aseibang in aumtauve.
GEN 1:16	Hiche achun Pathen in vah alen cheh ni asem in, vah alenjo chu sunlaiya thunei ding in apansah-in, chule vah aneojo chu janlaiya thunei ding in apansah tai; hiti chun ahsi ho jong ahin sem tai.	God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.	And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.	Pathenin vah len cheh ni asemin, nichang chu sun laiyin avahsah-e. Hiti hin ahsi ho jong asemdoh tai.
GEN 1:17	Pathen in vahho chu vanthamjol apat in leiset salvah din apansah tai.	God set them in the expanse of the sky to give light to the earth,	And God set them in the firmament of the heaven to give light upon the earth,	Pathenin, vah cheng chu leiset salvah ding le
GEN 1:18	Sunlaiya thunei ding, janlaiya thunei ding, chule khovah le muthim sepkhen ding in apansah tan ahi. Pathen in aven ahileh pha asa lheh jeng in ahi.	and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.	and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.	Sun lai le jan laiya vah ding, muthim le khovah sepkhen din vanthamjol’a agoldohtai. Aphatje chu Pathenin amudoh tan ahi.
GEN 1:19	Hichu nikho li alhin ni ahi.	There was evening and there was morning, a fourth day.	And the evening and the morning were the fourth day.	Jan akichaiyin jingkah ahitan, nili alhingtai.
GEN 1:20	Pathen in aseiye, “Twija kon in nga ho leh ganhing ahingthei dangho umhen, chuleh vanthamjol ajong vachate ajat kimsoh in hung leng leu hen,’’ati.	God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.”	And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.	Pathenin, “twi lah a ahon hona kijot le ding ganhing hiungdimset hen, “atin;
GEN 1:21	Hiti chun Pathen in twikhanglen'a ganhing ahing thei jouse ahona kijot le ding in asem in, hiche ho chun twi a kidil sah sah-uvin, ama ama jat cheh in alha uvin ahi, chujong le ajat jat in alhanei vachate jong asem in ahi. Hichu Pathen in aven pha asalheh jeng in ahi.	God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.	And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.	Pathenin twi lah acheng din ganhing lentah tah ho le adang dang ganhing tamtah asemin, akijot le nauva Twi, akidil chet chut jin, chule alha lengthei vachate aloi loiyin asemdoh-e. Aphat dan Pathenin amudoh tai.
GEN 1:22	Pathen in abonchauvin phatthei aboh in, “Hinpha uvin lang chule pung uvin, twikhanglen'a twi lah dimset uvin, chule leiset chunga vachate jong pung u-hen,’’ ati.	God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.	Abonchauvin Pathenin phatthei aboh-in, “Hinphauvin, pungun, Twikhanglen le twi lah jouse dimset’uvin, chule vachate jong leiset’a pungu hen,” ati.
GEN 1:23	Chuin nilhah khat le jingkah khat achen ni nga lhinna ahi tai.	There was evening and there was morning, a fifth day.	And the evening and the morning were the fifth day.	Hichun jan akichaiyin jingkah ahitan, ni-nga alhingtai.
GEN 1:24	Chuin Pathen in aseiye, “Leiset in ama akon in sa jat chom chom hin hingdoh hen! Ama ama jat dungyui cheh in, vah ngui thei gancha, tol'a kithol ganhing, leh gamsa ho jong hihen” ati. Hiti chun aum jeng tai.	God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so.	And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.	Pathenin, “leiset’in ganhinglen le neo, ina vahthei le gamlah alha ding hinsep doh hen,” atileh, asei bangin aumtauve.
GEN 1:25	Chuin leiset chunga gamsa ho ama ama jat cheh in chule gancha ho jong ama ama jat cheh in a-opma kithol ajat jat in asem'e. Pathen in hiche ho chu aven pha asa lheh jeng in ahi.	God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.	And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.	Pathenin leiset’a ganhing le sa jouse chule tol’a kithol ganhing jouse aloiloiyin asemdoh-in, avet le apha lheh jenge.
